,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
210,711,36.004794,-84.251395,400 Illinois Ave,Oak Ridge,TN,37830,Anderson County,47001,both
211,712,36.025708,-84.238672,841 Oak Ridge Tpke,Oak Ridge,TN,37830,Anderson County,47001,both
212,715,36.515509,-84.506322,19820 Alberta St,Oneida,TN,37841,Scott County,47151,both
213,717,36.006643,-84.024559,6715 Clinton Hwy,Knoxville,TN,37849,Knox County,47093,both
214,719,36.008258,-83.974992,322 Merchants Dr,Knoxville,TN,37912,Knox County,47093,both
215,720,35.990007,-84.075797,7134 Oak Ridge Highway,Karns,TN,37931,Knox County,47093,both
216,721,35.972065,-83.986144,4420 Western Avenue,Knoxville,TN,37912,Knox County,47093,both
217,722,36.031113,-83.929859,5055 N Broadway,Knoxville,TN,37918,Knox County,47093,both
218,727,35.881505,-84.6601,1106 North Gateway Ave,Rockwood,TN,37854,Roane County,47145,both
219,728,36.397724,-83.015377,4306 Hwy 66 S,Rogersville,TN,37857,Hawkins County,47073,both
220,730,35.798629,-83.588387,540 Wears Valley Road,Pigeon Forge,TN,37863,Sevier County,47155,both
221,731,35.784438,-83.553372,3570 Parkway,Pigeon Forge,TN,37863,Sevier County,47155,both
222,732,35.827708,-83.573947,1831 Parkway,Sevierville,TN,37862,Sevier County,47155,both
223,736,35.865085,-83.545666,904 Dolly Parton Pky,Sevierville,TN,37862,Sevier County,47155,both
224,737,35.865734,-83.568036,225 Fork Of The River Pky,Sevierville,TN,37862,Sevier County,47155,both
225,741,35.870289,-83.755404,11416 Chapman Hwy,Seymour,TN,37865,Sevier County,47155,both
226,742,35.906919,-83.839259,7545 Mountain Grove Drive,Knoxville,TN,37920,Knox County,47093,both
227,743,35.599205,-84.510459,223 Hwy 68,Sweetwater,TN,37312,Monroe County,47123,both
228,745,36.108857,-83.333962,3624 Roy Messer Hwy,White Pine,TN,37890,Jefferson County,47089,both
229,748,35.579325,-84.270433,1936 Us 411,Vonore,TN,37885,Monroe County,47123,both
230,752,35.955964,-83.933319,1720 W Cumberland Ave,Knoxville,TN,37912,Knox County,47093,both
231,753,35.950546,-83.914622,2505 Chapman Hwy,Knoxville,TN,37912,Knox County,47093,both
232,754,36.000893,-83.925265,3120 N Broadway,Knoxville,TN,37917,Knox County,47093,both
233,756,35.991068,-83.889623,2818 Magnolia Ave,Knoxville,TN,37918,Knox County,47093,both
234,760,35.931447,-84.023464,7030 Kingston Pike,Knoxville,TN,37919,Knox County,47093,both
235,770,35.944496,-84.069428,8451 Middlebrook Pike,Knoxville,TN,37919,Knox County,47093,both
236,771,35.925047,-84.065488,Walker Springs   I 40,Knoxville,TN,37923,Knox County,47093,both
237,774,35.921112,-84.09191,322 Cedar Bluff Rd,Knoxville,TN,37923,Knox County,47093,both
238,777,35.910057,-84.099882,9501 Kingston Pike,Knoxville,TN,37923,Knox County,47093,both
239,785,36.071819,-83.928009,6901 Maynardville Pike,Knoxville,TN,37918,Knox County,47093,both
240,789,36.004721,-83.772648,7402 Strawberry Plains Pike,Knoxville,TN,37871,Knox County,47093,both
241,791,36.031396,-83.870122,5260 Millertown Pike,Knoxville,TN,37918,Knox County,47093,both
242,840,35.88456,-84.154806,11205 Kingston Pike,Farragut,TN,37934,Knox County,47093,both
243,841,35.903237,-84.14212,326 Lovell Road,Knoxville,TN,37922,Knox County,47093,both
244,851,35.947176,-84.159432,Hardin Valley & Pellissippi Pkwy,Knoxville,TN,37920,Knox County,47093,both
245,877,35.744402,-89.098054,4101 B Highway 412 South,Bells,TN,38006,Crockett County,47033,both
246,878,35.293786,-89.676154,11590 Highway 70,Arlington,TN,38002,Shelby County,47157,both
247,879,35.449507,-89.783157,10921 Highway 51 S,Atoka,TN,38004,Tipton County,47167,both
248,881,35.256729,-88.99797,798 W Market St,Bolivar,TN,38008,Hardeman County,47069,both
249,883,35.54057,-89.247412,2586 Anderson Avenue,Brownsville,TN,38012,Haywood County,47075,both
250,885,35.206307,-89.731713,9940 Us Highway 64,Lakeland,TN,38002,Shelby County,47157,both
251,886,35.171897,-89.793567,1705 N Germantown Pky,Cordova,TN,38018,Shelby County,47157,both
252,887,35.158248,-89.726924,1206 Houston Levee Road,Cordova,TN,38018,Shelby County,47157,both
253,889,35.205219,-89.793856,8062 Us Highway 64,Bartlett,TN,38133,Shelby County,47157,both
254,890,35.143282,-89.794706,674 N Germantown Pkwy,Cordova,TN,38018,Shelby County,47157,both
255,891,35.17889,-89.836807,1959 Whitten Road,Memphis,TN,38133,Shelby County,47157,both
256,892,35.229057,-89.809842,7599 Highway 70,Bartlett,TN,38133,Shelby County,47157,both
257,893,35.046564,-89.690743,852 W Poplar Ave,Collierville,TN,38017,Shelby County,47157,both
258,894,35.048403,-89.733124,3675 S Houston Levee,Collierville,TN,38017,Shelby County,47157,both
259,900,35.093484,-89.80834,2030 Germantown Rd,Germantown,TN,38138,Shelby County,47157,both
260,902,35.5773,-89.644094,887 Hwy 51 N,Covington,TN,38019,Tipton County,47167,both
261,903,36.061347,-89.394863,2496 Lake Rd,Dyersburg,TN,38024,Dyer County,47045,both
262,908,35.205257,-89.861745,6048 Stage Rd,Bartlett,TN,38134,Shelby County,47157,both
263,911,35.169445,-89.864897,1610 Sycamore View,Memphis,TN,38134,Shelby County,47157,both
264,912,35.217676,-89.913513,3363 Austin Peay Hwy,Memphis,TN,38128,Shelby County,47157,both
265,915,35.228572,-89.515651,7200 Hwy 64,Oakland,TN,38060,Fayette County,47047,both
266,916,35.340506,-89.911593,7839 Us Highway 51 N,Millington,TN,38053,Shelby County,47157,both
267,919,36.122125,-89.276345,600 A W Highway 77,Newbern,TN,38059,Dyer County,47045,both
268,921,35.761877,-89.544862,590 Hwy 51 N,Ripley,TN,38063,Lauderdale County,47097,both
269,922,35.243267,-89.351709,16630 Us Highway 64,Somerville,TN,38068,Fayette County,47047,both
270,931,35.149388,-89.920304,4210 Summer Ave,Memphis,TN,38122,Shelby County,47157,both
271,955,35.220827,-89.97417,2681 Frayser Blvd,Memphis,TN,38127,Shelby County,47157,both
272,966,35.185351,-89.895877,2200 Covington Pike,Memphis,TN,38128,Shelby County,47157,both
273,969,35.151328,-89.891472,5084 Summer Ave,Memphis,TN,38122,Shelby County,47157,both
274,972,35.020224,-89.935656,3845 E Shelby Dr,Memphis,TN,38118,Shelby County,47157,both
275,973,35.064907,-89.905201,3068 S Perkins Rd,Memphis,TN,38118,Shelby County,47157,both
276,975,35.049522,-89.885764,3636 S Mendenhall,Memphis,TN,38115,Shelby County,47157,both
277,979,35.050288,-89.861167,6050 Winchester,Memphis,TN,38115,Shelby County,47157,both
278,983,35.107605,-89.88591,5263 Poplar Dr,Memphis,TN,38119,Shelby County,47157,both
279,984,35.09539,-89.859168,1325 Ridgeway Road,Memphis,TN,38119,Shelby County,47157,both
280,1017,35.048562,-89.826692,7101 Winchester Road,Memphis,TN,38125,Shelby County,47157,both
281,1018,35.019974,-89.829416,7011 E Shelby Dr,Memphis,TN,38125,Shelby County,47157,both
282,1021,35.098887,-89.840754,6690 Poplar Ave,Memphis,TN,38138,Shelby County,47157,both
283,1022,35.044608,-89.796511,3805 Hacks Crossing Rd,Memphis,TN,38125,Shelby County,47157,both
284,1249,36.129351,-88.508071,15910 Highland Dr,Mckenzie,TN,38201,Carroll County,47017,both
285,1250,36.278166,-88.712702,8762 Hwy 22,Dresden,TN,38225,Weakley County,47183,both
286,1251,36.153625,-88.801042,1907 N Meridian Street,Greenfield,TN,38230,Weakley County,47183,both
287,1252,36.348437,-88.873455,801 University Street,Martin,TN,38237,Weakley County,47183,both
288,1253,36.289822,-88.313584,1019 Mineral Wells,Paris,TN,38242,Henry County,47079,both
289,1254,36.414702,-89.071025,1108 Marshall Ave,Union City,TN,38261,Obion County,47131,both
290,1259,35.652982,-88.829128,1915 N Highland Ave,Jackson,TN,38305,Madison County,47113,both
291,1260,35.65998,-88.85259,1918 Hwy 45 Byp,Jackson,TN,38305,Madison County,47113,both
292,1261,35.674037,-88.781869,20 Chloe Place,Jackson,TN,38305,Madison County,47113,both
293,1262,35.689364,-88.856692,16 Stone Brook,Jackson,TN,38302,Madison County,47113,both
294,1263,35.563458,-88.814752,1705 S Highland,Jackson,TN,38301,Madison County,47113,both
295,1268,35.156281,-88.579338,621 Mulberry Ave,Selmer,TN,38375,McNairy County,47109,both
296,1269,36.057895,-88.115044,106 Hwy 641 N,Camden,TN,38320,Benton County,47005,both
297,1270,35.790532,-88.391086,21320 Hwy 22,Wildersville,TN,38388,Henderson County,47077,both
