,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
21,36.2177088,-86.3331406,1457 W Main,Lebanon,TN,37087,Wilson County,47189,both
22,35.8803982,-86.3834041,"2104 Memorial Blvd., Ste A",Murfreesboro,TN,37129,Rutherford County,47149,both
23,35.8623822,-86.4073997,1270 North West Broad St,Murfreesboro,TN,37129,Rutherford County,47149,both
24,35.8460165,-86.430546,121 Chaffin Pl,Murfreesboro,TN,37129,Rutherford County,47149,both
25,35.8078671,-86.3967846,2441 South Church St,Murfreesboro,TN,37127,Rutherford County,47149,both
26,35.9154501,-86.8340057,1130 Murfreesboro Rd,Franklin,TN,37064,Williamson County,47187,both
27,36.084373,-87.0998269,129 Luyben Hills Rd,Kingston Springs,TN,37082,Cheatham County,47021,both
28,36.0789329,-86.9533998,7689 Highway 70 South,Nashville,TN,37221,Davidson County,47037,both
29,36.1900698,-86.7980527,2044 Rosa L. Parks Blvd.,Nashville,TN,37228,Davidson County,47037,both
30,36.2340438,-86.7589701,3196 Dickerson Rd,Nashville,TN,37207,Davidson County,47037,both
31,36.251254,-86.717625,919 Gallatin Pike S,Madison,TN,37115,Davidson County,47037,both
32,35.6967709,-85.7804,905 Smithville Hwy,Mcminnville,TN,37110,Warren County,47177,both
33,35.4592873,-86.0581979,2194 Hillsboro Blvd,Manchester,TN,37355,Coffee County,47031,both
34,35.4895142,-86.4582015,103 Madison St,Shelbyville,TN,37160,Bedford County,47003,both
35,35.3725223,-86.2205148,932 N Jackson St,Tullahoma,TN,37388,Coffee County,47031,both
36,35.4472143,-86.7757476,151 North Ellington Pwky,Lewisburg,TN,37091,Marshall County,47117,both
37,35.6440192,-86.8915281,1623 Bear Creek Pike,Columbia,TN,38401,Maury County,47119,both
38,35.123726,-86.56571,1638 Huntsville Hwy,Fayetteville,TN,37334,Lincoln County,47103,both
39,35.6047592,-87.0658211,1625 Hatcher Ln,Columbia,TN,38401,Maury County,47119,both
40,35.7426536,-86.939749,1070 Crossing Circle,Spring Hill,TN,37174,Maury County,47119,both
41,36.3894633,-86.4407348,307 E Main St,Gallatin,TN,37066,Sumner County,47165,both
42,36.3757681,-86.4719551,1019 Nashville Pike,Gallatin,TN,37066,Sumner County,47165,both
43,36.5779197,-86.5140591,304 S Broadway Ste G,Portland,TN,37148,Sumner County,47165,both
44,36.3023242,-86.6291215,435 W Main St,Hendersonville,TN,37075,Sumner County,47165,both
45,36.2893536,-88.3144521,1012 Mineral Wells Ave,Paris,TN,38242,Henry County,47079,both
46,36.0216149,-87.3397109,2330 Hwy 46 S,Dickson,TN,37055,Dickson County,47043,both
47,35.8821886,-87.8018369,15559 Hwy 13 S,Hurricane Mills,TN,37078,Humphreys County,47085,both
