,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS
179,36.1159777,-83.4874671,201 EAST BROADWAY BOULEVARD,JEFFERSON CITY,TN,37760,Jefferson County,47089
180,36.1100157,-83.2843496,1319 State Street,White Pine,TN,37890,Jefferson County,47089
181,36.0175327,-83.4244348,1025 Highway 92 South,Dandridge,TN,37725,Jefferson County,47089
182,35.9683,-83.199625,256 West Broadway,Newport,TN,37821,Cocke County,47029
183,36.0070276,-84.2603707,210 S. Illinois Avenue,Oak Ridge,TN,37830,Anderson County,47001
184,35.9797951,-84.116197,7816 Oakridge Highway,Knoxville,TN,37931,Knox County,47093
185,36.5128499,-84.5101856,19539 N Alberta Avenue,Oneida,TN,37841,Scott County,47151
186,35.972467,-83.9839853,4410 Western Ave,KNOXVILLE,TN,37921,Knox County,47093
187,35.8680468,-83.5592084,308 East Main Street,Sevierville,TN,37862,Sevier County,47155
188,35.8157253,-83.5787749,2246 Parkway,Pigeon Forge,TN,37863,Sevier County,47155
189,36.4269233,-84.9289682,315 Central Avenue East,Jamestown,TN,38556,Fentress County,47049
190,35.2043612,-89.8305528,6981 Highway 64,Memphis,TN,38133,Shelby County,47157
191,35.8798492,-83.7763752,10642 Chapman Highway,Seymour,TN,37865,Sevier County,47155
192,35.5932139,-89.2576717,414 East Main Street,Brownsville,TN,38012,Haywood County,47075
193,36.0494431,-89.3672615,1906 ST JOHN N HWY 51,DYERSBURG,TN,38024,Dyer County,47045
194,36.0469654,-89.4072628,1525 Hwy 51 Bypass North,Dyersburg,TN,38024,Dyer County,47045
195,35.2923823,-89.6755601,6101 Airline Road,Arlington,TN,38002,Shelby County,47157
196,35.2055428,-89.7388663,9696 Highway 64,Lakeland,TN,38002,Shelby County,47157
197,35.2311309,-89.8090346,7636 Us Highway 70 North,Bartlett,TN,38133,Shelby County,47157
198,35.1571895,-89.7281837,1169 N. Houston Levee Road,Memphis,TN,38018,Shelby County,47157
199,35.1612133,-89.7955753,1305 N. Germantown Parkway,Memphis,TN,38018,Shelby County,47157
200,35.2284512,-89.5198647,7026 Highway 64,Oakland,TN,38060,Fayette County,47047
201,35.4475647,-89.7835128,11050 Highway 51 South #13,Atoka,TN,38004,Tipton County,47167
202,35.3476376,-89.9041299,8097 Highway 51 N.,Millington,TN,38053,Shelby County,47157
203,35.595064,-89.6204184,710 Highway 51 N.,Covington,TN,38019,Tipton County,47167
